signal_date,eval_date,strategy,ticker,signal,prev,close,high,pct_high,pct_close,wl,status
2026-07-09,2026-07-10,scalping,AISA.JK,SCALPING_HIGH,106.0,108.0,109.0,2.83,1.89,W,evaluated
2026-07-09,2026-07-10,scalping,AKPI.JK,SCALPING_HIGH,494.0,498.0,500.0,1.21,0.81,W,evaluated
2026-07-09,2026-07-10,scalping,APEX.JK,SCALPING_HIGH,137.0,132.0,137.0,0.0,-3.65,L,evaluated
2026-07-09,2026-07-10,scalping,APLN.JK,SCALPING_HIGH,124.0,125.0,135.0,8.87,0.81,W,evaluated
2026-07-09,2026-07-10,scalping,ARGO.JK,SCALPING_HIGH,1000.0,1000.0,1025.0,2.5,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,ARTO.JK,SCALPING_HIGH,1200.0,1135.0,1220.0,1.67,-5.42,L,evaluated
2026-07-09,2026-07-10,scalping,ASGR.JK,SCALPING_HIGH,1825.0,1800.0,1850.0,1.37,-1.37,L,evaluated
2026-07-09,2026-07-10,scalping,ASRI.JK,SCALPING_HIGH,116.0,117.0,121.0,4.31,0.86,W,evaluated
2026-07-09,2026-07-10,scalping,BFIN.JK,SCALPING_HIGH,805.0,800.0,830.0,3.11,-0.62,L,evaluated
2026-07-09,2026-07-10,scalping,BIPP.JK,SCALPING_HIGH,60.0,63.0,68.0,13.33,5.0,W,evaluated
2026-07-09,2026-07-10,scalping,BMSR.JK,SCALPING_HIGH,304.0,306.0,328.0,7.89,0.66,W,evaluated
2026-07-09,2026-07-10,scalping,BPII.JK,SCALPING_HIGH,452.0,460.0,494.0,9.29,1.77,W,evaluated
2026-07-09,2026-07-10,scalping,BUVA.JK,SCALPING_HIGH,855.0,845.0,885.0,3.51,-1.17,L,evaluated
2026-07-09,2026-07-10,scalping,DEWA.JK,SCALPING_HIGH,332.0,338.0,344.0,3.61,1.81,W,evaluated
2026-07-09,2026-07-10,scalping,ECII.JK,SCALPING_HIGH,136.0,137.0,146.0,7.35,0.74,W,evaluated
2026-07-09,2026-07-10,scalping,ELSA.JK,SCALPING_HIGH,605.0,655.0,660.0,9.09,8.26,W,evaluated
2026-07-09,2026-07-10,scalping,ENRG.JK,SCALPING_HIGH,1215.0,1200.0,1225.0,0.82,-1.23,L,evaluated
2026-07-09,2026-07-10,scalping,FAST.JK,SCALPING_HIGH,290.0,284.0,290.0,0.0,-2.07,L,evaluated
2026-07-09,2026-07-10,scalping,FISH.JK,SCALPING_HIGH,645.0,645.0,650.0,0.78,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,GGRM.JK,SCALPING_HIGH,16325.0,16375.0,16550.0,1.38,0.31,W,evaluated
2026-07-09,2026-07-10,scalping,GZCO.JK,SCALPING_HIGH,143.0,142.0,148.0,3.5,-0.7,L,evaluated
2026-07-09,2026-07-10,scalping,KRAS.JK,SCALPING_HIGH,214.0,216.0,220.0,2.8,0.93,W,evaluated
2026-07-09,2026-07-10,scalping,LEAD.JK,SCALPING_HIGH,99.0,97.0,99.0,0.0,-2.02,L,evaluated
2026-07-09,2026-07-10,scalping,MITI.JK,SCALPING_HIGH,182.0,177.0,184.0,1.1,-2.75,L,evaluated
2026-07-09,2026-07-10,scalping,PGLI.JK,SCALPING_HIGH,210.0,204.0,212.0,0.95,-2.86,L,evaluated
2026-07-09,2026-07-10,scalping,RAJA.JK,SCALPING_HIGH,4350.0,4290.0,4480.0,2.99,-1.38,L,evaluated
2026-07-09,2026-07-10,scalping,RANC.JK,SCALPING_HIGH,580.0,525.0,560.0,-3.45,-9.48,L,evaluated
2026-07-09,2026-07-10,scalping,RODA.JK,SCALPING_HIGH,58.0,59.0,62.0,6.9,1.72,W,evaluated
2026-07-09,2026-07-10,scalping,RUIS.JK,SCALPING_HIGH,200.0,194.0,202.0,1.0,-3.0,L,evaluated
2026-07-09,2026-07-10,scalping,SOCI.JK,SCALPING_HIGH,354.0,354.0,362.0,2.26,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,SPMA.JK,SCALPING_HIGH,168.0,172.0,174.0,3.57,2.38,W,evaluated
2026-07-09,2026-07-10,scalping,SQMI.JK,SCALPING_HIGH,55.0,53.0,59.0,7.27,-3.64,L,evaluated
2026-07-09,2026-07-10,scalping,TFCO.JK,SCALPING_HIGH,735.0,665.0,730.0,-0.68,-9.52,L,evaluated
2026-07-09,2026-07-10,scalping,TMAS.JK,SCALPING_HIGH,118.0,119.0,120.0,1.69,0.85,W,evaluated
2026-07-09,2026-07-10,scalping,NICK.JK,SCALPING_HIGH,1040.0,1040.0,1040.0,0.0,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,TRUK.JK,SCALPING_HIGH,420.0,420.0,428.0,1.9,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,LAND.JK,SCALPING_HIGH,62.0,63.0,69.0,11.29,1.61,W,evaluated
2026-07-09,2026-07-10,scalping,MPRO.JK,SCALPING_HIGH,9900.0,9900.0,11875.0,19.95,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,YELO.JK,SCALPING_HIGH,74.0,74.0,76.0,2.7,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,SOSS.JK,SCALPING_HIGH,1105.0,1105.0,1105.0,0.0,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,POLA.JK,SCALPING_HIGH,60.0,61.0,63.0,5.0,1.67,W,evaluated
2026-07-09,2026-07-10,scalping,COCO.JK,SCALPING_HIGH,173.0,167.0,185.0,6.94,-3.47,L,evaluated
2026-07-09,2026-07-10,scalping,JAST.JK,SCALPING_HIGH,94.0,86.0,103.0,9.57,-8.51,L,evaluated
2026-07-09,2026-07-10,scalping,KJEN.JK,SCALPING_HIGH,119.0,119.0,126.0,5.88,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,INOV.JK,SCALPING_HIGH,125.0,123.0,132.0,5.6,-1.6,L,evaluated
2026-07-09,2026-07-10,scalping,INDO.JK,SCALPING_HIGH,169.0,170.0,172.0,1.78,0.59,W,evaluated
2026-07-09,2026-07-10,scalping,IKAN.JK,SCALPING_HIGH,78.0,78.0,86.0,10.26,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,UANG.JK,SCALPING_HIGH,2550.0,2530.0,2700.0,5.88,-0.78,L,evaluated
2026-07-09,2026-07-10,scalping,PPGL.JK,SCALPING_HIGH,228.0,222.0,234.0,2.63,-2.63,L,evaluated
2026-07-09,2026-07-10,scalping,VICI.JK,SCALPING_HIGH,635.0,620.0,640.0,0.79,-2.36,L,evaluated
2026-07-09,2026-07-10,scalping,HOPE.JK,SCALPING_HIGH,150.0,160.0,161.0,7.33,6.67,W,evaluated
2026-07-09,2026-07-10,scalping,OILS.JK,SCALPING_HIGH,206.0,204.0,212.0,2.91,-0.97,L,evaluated
2026-07-09,2026-07-10,scalping,NASI.JK,SCALPING_HIGH,115.0,116.0,120.0,4.35,0.87,W,evaluated
2026-07-09,2026-07-10,scalping,NTBK.JK,SCALPING_HIGH,90.0,106.0,110.0,22.22,17.78,W,evaluated
2026-07-09,2026-07-10,scalping,SICO.JK,SCALPING_HIGH,111.0,106.0,117.0,5.41,-4.5,L,evaluated
2026-07-09,2026-07-10,scalping,CHEM.JK,SCALPING_HIGH,63.0,62.0,65.0,3.17,-1.59,L,evaluated
2026-07-09,2026-07-10,scalping,HATM.JK,SCALPING_HIGH,454.0,410.0,454.0,0.0,-9.69,L,evaluated
2026-07-09,2026-07-10,scalping,KKES.JK,SCALPING_HIGH,56.0,61.0,61.0,8.93,8.93,W,evaluated
2026-07-09,2026-07-10,scalping,MEDS.JK,SCALPING_HIGH,75.0,81.0,89.0,18.67,8.0,W,evaluated
2026-07-09,2026-07-10,scalping,MMIX.JK,SCALPING_HIGH,785.0,750.0,880.0,12.1,-4.46,L,evaluated
2026-07-09,2026-07-10,scalping,HALO.JK,SCALPING_HIGH,66.0,64.0,70.0,6.06,-3.03,L,evaluated
2026-07-09,2026-07-10,scalping,PGEO.JK,SCALPING_HIGH,950.0,1005.0,1020.0,7.37,5.79,W,evaluated
2026-07-09,2026-07-10,scalping,FUTR.JK,SCALPING_HIGH,220.0,220.0,234.0,6.36,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,PTMP.JK,SCALPING_HIGH,61.0,60.0,62.0,1.64,-1.64,L,evaluated
2026-07-09,2026-07-10,scalping,NSSS.JK,SCALPING_HIGH,710.0,700.0,720.0,1.41,-1.41,L,evaluated
2026-07-09,2026-07-10,scalping,TYRE.JK,SCALPING_HIGH,115.0,117.0,122.0,6.09,1.74,W,evaluated
2026-07-09,2026-07-10,scalping,KOKA.JK,SCALPING_HIGH,140.0,170.0,183.0,30.71,21.43,W,evaluated
2026-07-09,2026-07-10,scalping,RGAS.JK,SCALPING_HIGH,204.0,210.0,214.0,4.9,2.94,W,evaluated
2026-07-09,2026-07-10,scalping,MSTI.JK,SCALPING_HIGH,1280.0,1300.0,1315.0,2.73,1.56,W,evaluated
2026-07-09,2026-07-10,scalping,SURI.JK,SCALPING_HIGH,65.0,65.0,67.0,3.08,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,TOSK.JK,SCALPING_HIGH,61.0,61.0,62.0,1.64,0.0,L,evaluated
2026-07-09,2026-07-10,scalping,ALII.JK,SCALPING_HIGH,745.0,740.0,755.0,1.34,-0.67,L,evaluated
2026-07-09,2026-07-10,scalping,HYGN.JK,SCALPING_HIGH,148.0,150.0,151.0,2.03,1.35,W,evaluated
2026-07-09,2026-07-10,scalping,BAIK.JK,SCALPING_HIGH,685.0,690.0,695.0,1.46,0.73,W,evaluated
2026-07-09,2026-07-10,scalping,ISEA.JK,SCALPING_HIGH,71.0,72.0,78.0,9.86,1.41,W,evaluated
2026-07-09,2026-07-10,scalping,GUNA.JK,SCALPING_HIGH,176.0,182.0,194.0,10.23,3.41,W,evaluated
