signal_date,eval_date,strategy,ticker,signal,prev,open,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-07-24,2026-07-28,scalping,ALKA.JK,SCALPING_HIGH,1375.0,1420.0,1715.0,1715.0,24.73,24.73,W,W,evaluated
2026-07-27,2026-07-28,scalping,AKRA.JK,SCALPING_HIGH,1455.0,1405.34,1445.0,1455.0,0.0,-0.69,L,L,evaluated
2026-07-27,2026-07-28,scalping,ALKA.JK,SCALPING_HIGH,1375.0,1420.0,1715.0,1715.0,24.73,24.73,W,W,evaluated
2026-07-27,2026-07-28,scalping,BAJA.JK,SCALPING_HIGH,222.0,240.0,224.0,276.0,24.32,0.9,W,W,evaluated
2026-07-27,2026-07-28,scalping,BBLD.JK,SCALPING_HIGH,610.0,590.0,590.0,595.0,-2.46,-3.28,L,L,evaluated
2026-07-27,2026-07-28,scalping,BPFI.JK,SCALPING_HIGH,258.0,256.0,262.0,264.0,2.33,1.55,W,W,evaluated
2026-07-27,2026-07-28,scalping,BTON.JK,SCALPING_HIGH,366.0,360.0,360.0,362.0,-1.09,-1.64,L,L,evaluated
2026-07-27,2026-07-28,scalping,DEWA.JK,SCALPING_HIGH,442.0,444.0,444.0,456.0,3.17,0.45,W,W,evaluated
2026-07-27,2026-07-28,scalping,ECII.JK,SCALPING_HIGH,159.0,159.0,152.0,165.0,3.77,-4.4,W,L,evaluated
2026-07-27,2026-07-28,scalping,GDST.JK,SCALPING_HIGH,103.0,103.0,97.0,119.0,15.53,-5.83,W,L,evaluated
2026-07-27,2026-07-28,scalping,GJTL.JK,SCALPING_HIGH,1205.0,1210.0,1200.0,1230.0,2.07,-0.41,W,L,evaluated
2026-07-27,2026-07-28,scalping,INAI.JK,SCALPING_HIGH,166.0,174.0,178.0,220.0,32.53,7.23,W,W,evaluated
2026-07-27,2026-07-28,scalping,INDY.JK,SCALPING_HIGH,2630.0,2660.0,2610.0,2730.0,3.8,-0.76,W,L,evaluated
