signal_date,eval_date,strategy,ticker,signal,prev,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-08-18,2026-08-20,scalping,YPAS.JK,SCALPING_HIGH,1370.0,1465.0,1680.0,22.63,6.93,W,W,evaluated
2026-08-18,2026-08-20,scalping,BEEF.JK,SCALPING_HIGH,476.0,486.0,498.0,4.62,2.1,W,W,evaluated
2026-08-19,2026-08-20,scalping,APEX.JK,SCALPING_HIGH,192.0,193.0,197.0,2.6,0.52,W,W,evaluated
2026-08-19,2026-08-20,scalping,APLI.JK,SCALPING_HIGH,270.0,272.0,284.0,5.19,0.74,W,W,evaluated
2026-08-19,2026-08-20,scalping,APLN.JK,SCALPING_HIGH,145.0,146.0,149.0,2.76,0.69,W,W,evaluated
2026-08-19,2026-08-20,scalping,ASRI.JK,SCALPING_HIGH,129.0,129.0,133.0,3.1,0.0,W,L,evaluated
2026-08-19,2026-08-20,scalping,BALI.JK,SCALPING_HIGH,1315.0,1265.0,1340.0,1.9,-3.8,W,L,evaluated
2026-08-19,2026-08-20,scalping,BBLD.JK,SCALPING_HIGH,690.0,685.0,730.0,5.8,-0.72,W,L,evaluated
2026-08-19,2026-08-20,scalping,BEST.JK,SCALPING_HIGH,119.0,128.0,130.0,9.24,7.56,W,W,evaluated
2026-08-19,2026-08-20,scalping,BKSL.JK,SCALPING_HIGH,79.0,78.0,80.0,1.27,-1.27,W,L,evaluated
2026-08-19,2026-08-20,scalping,BPII.JK,SCALPING_HIGH,498.0,510.0,620.0,24.5,2.41,W,W,evaluated
2026-08-19,2026-08-20,scalping,BSDE.JK,SCALPING_HIGH,650.0,645.0,665.0,2.31,-0.77,W,L,evaluated
2026-08-19,2026-08-20,scalping,BYAN.JK,SCALPING_HIGH,15650.0,16175.0,17450.0,11.5,3.35,W,W,evaluated
2026-08-19,2026-08-20,scalping,CFIN.JK,SCALPING_HIGH,356.0,358.0,360.0,1.12,0.56,W,W,evaluated
2026-08-19,2026-08-20,scalping,DGIK.JK,SCALPING_HIGH,135.0,133.0,138.0,2.22,-1.48,W,L,evaluated
2026-08-19,2026-08-20,scalping,DSFI.JK,SCALPING_HIGH,86.0,86.0,87.0,1.16,0.0,W,L,evaluated
2026-08-19,2026-08-20,scalping,DSSA.JK,SCALPING_HIGH,1040.0,1020.0,1050.0,0.96,-1.92,W,L,evaluated
2026-08-19,2026-08-20,scalping,EXCL.JK,SCALPING_HIGH,2860.0,2830.0,2890.0,1.05,-1.05,W,L,evaluated
2026-08-19,2026-08-20,scalping,FAST.JK,SCALPING_HIGH,452.0,492.0,530.0,17.26,8.85,W,W,evaluated
2026-08-19,2026-08-20,scalping,GWSA.JK,SCALPING_HIGH,146.0,151.0,151.0,3.42,3.42,W,W,evaluated
2026-08-19,2026-08-20,scalping,ICON.JK,SCALPING_HIGH,132.0,140.0,147.0,11.36,6.06,W,W,evaluated
2026-08-19,2026-08-20,scalping,IMAS.JK,SCALPING_HIGH,890.0,900.0,920.0,3.37,1.12,W,W,evaluated
2026-08-19,2026-08-20,scalping,INPC.JK,SCALPING_HIGH,145.0,146.0,149.0,2.76,0.69,W,W,evaluated
2026-08-19,2026-08-20,scalping,ISAT.JK,SCALPING_HIGH,2740.0,2730.0,2800.0,2.19,-0.36,W,L,evaluated
2026-08-19,2026-08-20,scalping,ITMA.JK,SCALPING_HIGH,1540.0,1495.0,1650.0,7.14,-2.92,W,L,evaluated
2026-08-19,2026-08-20,scalping,KIJA.JK,SCALPING_HIGH,165.0,206.0,214.0,29.7,24.85,W,W,evaluated
2026-08-19,2026-08-20,scalping,LMPI.JK,SCALPING_HIGH,153.0,156.0,159.0,3.92,1.96,W,W,evaluated
2026-08-19,2026-08-20,scalping,MEDC.JK,SCALPING_HIGH,1425.0,1420.0,1445.0,1.4,-0.35,W,L,evaluated
2026-08-19,2026-08-20,scalping,NRCA.JK,SCALPING_HIGH,560.0,545.0,565.0,0.89,-2.68,W,L,evaluated
2026-08-19,2026-08-20,scalping,OKAS.JK,SCALPING_HIGH,128.0,126.0,136.0,6.25,-1.56,W,L,evaluated
2026-08-19,2026-08-20,scalping,PEGE.JK,SCALPING_HIGH,111.0,118.0,121.0,9.01,6.31,W,W,evaluated
2026-08-19,2026-08-20,scalping,PTRO.JK,SCALPING_HIGH,5250.0,5250.0,5350.0,1.9,0.0,W,L,evaluated
2026-08-19,2026-08-20,scalping,RELI.JK,SCALPING_HIGH,525.0,530.0,550.0,4.76,0.95,W,W,evaluated
2026-08-19,2026-08-20,scalping,SSIA.JK,SCALPING_HIGH,1760.0,1765.0,1775.0,0.85,0.28,W,W,evaluated
2026-08-19,2026-08-20,scalping,STAR.JK,SCALPING_HIGH,436.0,438.0,450.0,3.21,0.46,W,W,evaluated
2026-08-19,2026-08-20,scalping,TINS.JK,SCALPING_HIGH,4050.0,3990.0,4120.0,1.73,-1.48,W,L,evaluated
2026-08-19,2026-08-20,scalping,TMPO.JK,SCALPING_HIGH,172.0,167.0,172.0,0.0,-2.91,L,L,evaluated
2026-08-19,2026-08-20,scalping,TOWR.JK,SCALPING_HIGH,422.0,428.0,434.0,2.84,1.42,W,W,evaluated
2026-08-19,2026-08-20,scalping,TRUS.JK,SCALPING_HIGH,472.0,452.0,484.0,2.54,-4.24,W,L,evaluated
2026-08-19,2026-08-20,scalping,VIVA.JK,SCALPING_HIGH,58.0,54.0,57.0,-1.72,-6.9,L,L,evaluated
2026-08-19,2026-08-20,scalping,YPAS.JK,SCALPING_HIGH,1370.0,1465.0,1680.0,22.63,6.93,W,W,evaluated
2026-08-19,2026-08-20,scalping,PBSA.JK,SCALPING_HIGH,850.0,850.0,870.0,2.35,0.0,W,L,evaluated
2026-08-19,2026-08-20,scalping,PRDA.JK,SCALPING_HIGH,2430.0,2560.0,2600.0,7.0,5.35,W,W,evaluated
2026-08-19,2026-08-20,scalping,PORT.JK,SCALPING_HIGH,935.0,900.0,1000.0,6.95,-3.74,W,L,evaluated
2026-08-19,2026-08-20,scalping,WEGE.JK,SCALPING_HIGH,68.0,62.0,76.0,11.76,-8.82,W,L,evaluated
2026-08-19,2026-08-20,scalping,YELO.JK,SCALPING_HIGH,93.0,94.0,97.0,4.3,1.08,W,W,evaluated
2026-08-19,2026-08-20,scalping,PEHA.JK,SCALPING_HIGH,282.0,290.0,292.0,3.55,2.84,W,W,evaluated
2026-08-19,2026-08-20,scalping,BEEF.JK,SCALPING_HIGH,476.0,486.0,498.0,4.62,2.1,W,W,evaluated
2026-08-19,2026-08-20,scalping,TAMA.JK,SCALPING_HIGH,262.0,274.0,290.0,10.69,4.58,W,W,evaluated
2026-08-19,2026-08-20,scalping,KBAG.JK,SCALPING_HIGH,50.0,50.0,50.0,0.0,0.0,L,L,evaluated
2026-08-19,2026-08-20,scalping,BBSS.JK,SCALPING_HIGH,107.0,105.0,109.0,1.87,-1.87,W,L,evaluated
2026-08-19,2026-08-20,scalping,SOFA.JK,SCALPING_HIGH,302.0,328.0,332.0,9.93,8.61,W,W,evaluated
2026-08-19,2026-08-20,scalping,PPGL.JK,SCALPING_HIGH,226.0,228.0,236.0,4.42,0.88,W,W,evaluated
2026-08-19,2026-08-20,scalping,TRJA.JK,SCALPING_HIGH,120.0,121.0,124.0,3.33,0.83,W,W,evaluated
2026-08-19,2026-08-20,scalping,HOMI.JK,SCALPING_HIGH,210.0,216.0,216.0,2.86,2.86,W,W,evaluated
2026-08-19,2026-08-20,scalping,ROCK.JK,SCALPING_HIGH,2190.0,2180.0,2210.0,0.91,-0.46,W,L,evaluated
