signal_date,eval_date,strategy,ticker,signal,prev,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-08-12,2026-08-13,swing,BBRM.JK,PRE_MARKUP,117.0,116.0,118.0,0.85,-0.85,W,L,evaluated
2026-08-12,2026-08-13,swing,BDMN.JK,PRE_MARKUP,4300.0,4160.0,4330.0,0.7,-3.26,W,L,evaluated
2026-08-12,2026-08-13,swing,BEKS.JK,PRE_MARKUP,24.0,23.0,24.0,0.0,-4.17,L,L,evaluated
2026-08-12,2026-08-13,swing,BFIN.JK,PRE_MARKUP,915.0,915.0,915.0,0.0,0.0,L,L,evaluated
2026-08-12,2026-08-13,swing,BIPP.JK,PRE_MARKUP,74.0,63.0,74.0,0.0,-14.86,L,L,evaluated
2026-08-12,2026-08-13,swing,BJBR.JK,PRE_MARKUP,785.0,790.0,790.0,0.64,0.64,W,W,evaluated
2026-08-12,2026-08-13,swing,CPRO.JK,PRE_MARKUP,53.0,52.0,53.0,0.0,-1.89,L,L,evaluated
2026-08-12,2026-08-13,swing,DMAS.JK,PRE_MARKUP,147.0,148.0,149.0,1.36,0.68,W,W,evaluated
2026-08-12,2026-08-13,swing,GGRM.JK,PRE_MARKUP,19575.0,20025.0,20400.0,4.21,2.3,W,W,evaluated
2026-08-12,2026-08-13,swing,IKBI.JK,PRE_MARKUP,580.0,550.0,615.0,6.03,-5.17,W,L,evaluated
2026-08-12,2026-08-13,swing,ISAT.JK,PRE_MARKUP,2460.0,2470.0,2560.0,4.07,0.41,W,W,evaluated
2026-08-12,2026-08-13,swing,JRPT.JK,PRE_MARKUP,1080.0,1080.0,1080.0,0.0,0.0,L,L,evaluated
2026-08-12,2026-08-13,swing,LMPI.JK,BREAKOUT,163.0,153.0,163.0,0.0,-6.13,L,L,evaluated
2026-08-12,2026-08-13,swing,MPMX.JK,PRE_MARKUP,1005.0,1005.0,1005.0,0.0,0.0,L,L,evaluated
2026-08-12,2026-08-13,swing,PNBS.JK,PRE_MARKUP,51.0,50.0,51.0,0.0,-1.96,L,L,evaluated
2026-08-12,2026-08-13,swing,PTRO.JK,PRE_MARKUP,5500.0,5200.0,5500.0,0.0,-5.45,L,L,evaluated
2026-08-12,2026-08-13,swing,RODA.JK,PRE_MARKUP,67.0,66.0,69.0,2.99,-1.49,W,L,evaluated
2026-08-12,2026-08-13,swing,SRTG.JK,PRE_MARKUP,1830.0,1825.0,1840.0,0.55,-0.27,W,L,evaluated
2026-08-12,2026-08-13,swing,TMPO.JK,PRE_MARKUP,198.0,188.0,200.0,1.01,-5.05,W,L,evaluated
2026-08-12,2026-08-13,swing,ULTJ.JK,PRE_MARKUP,1515.0,1510.0,1525.0,0.66,-0.33,W,L,evaluated
2026-08-12,2026-08-13,swing,VOKS.JK,PRE_MARKUP,234.0,228.0,238.0,1.71,-2.56,W,L,evaluated
2026-08-12,2026-08-13,swing,WIIM.JK,PRE_MARKUP,1735.0,1705.0,1795.0,3.46,-1.73,W,L,evaluated
2026-08-12,2026-08-13,swing,WTON.JK,PRE_MARKUP,81.0,79.0,82.0,1.23,-2.47,W,L,evaluated
2026-08-12,2026-08-13,swing,TAMU.JK,PRE_MARKUP,29.0,27.0,27.0,-6.9,-6.9,L,L,evaluated
2026-08-12,2026-08-13,swing,MARK.JK,PRE_MARKUP,1115.0,1110.0,1125.0,0.9,-0.45,W,L,evaluated
2026-08-12,2026-08-13,swing,WEGE.JK,PRE_MARKUP,52.0,52.0,53.0,1.92,0.0,W,L,evaluated
2026-08-12,2026-08-13,swing,TUGU.JK,BREAKOUT,1275.0,1280.0,1305.0,2.35,0.39,W,W,evaluated
2026-08-12,2026-08-13,swing,TAMA.JK,PRE_MARKUP,252.0,262.0,284.0,12.7,3.97,W,W,evaluated
2026-08-12,2026-08-13,swing,ATAP.JK,PRE_MARKUP,625.0,590.0,635.0,1.6,-5.6,W,L,evaluated
2026-08-12,2026-08-13,swing,TAPG.JK,PRE_MARKUP,1805.0,1780.0,1810.0,0.28,-1.39,W,L,evaluated
2026-08-12,2026-08-13,swing,SWID.JK,PRE_MARKUP,107.0,113.0,126.0,17.76,5.61,W,W,evaluated
2026-08-12,2026-08-13,swing,HATM.JK,PRE_MARKUP,590.0,585.0,595.0,0.85,-0.85,W,L,evaluated
2026-08-12,2026-08-13,swing,OMED.JK,PRE_MARKUP,234.0,234.0,236.0,0.85,0.0,W,L,evaluated
2026-08-12,2026-08-13,swing,VTNY.JK,BREAKOUT,73.0,73.0,74.0,1.37,0.0,W,L,evaluated
2026-08-12,2026-08-13,swing,BDKR.JK,PRE_MARKUP,163.0,163.0,166.0,1.84,0.0,W,L,evaluated
2026-08-12,2026-08-13,swing,CUAN.JK,PRE_MARKUP,870.0,840.0,885.0,1.72,-3.45,W,L,evaluated
2026-08-12,2026-08-13,swing,BABY.JK,PRE_MARKUP,218.0,272.0,272.0,24.77,24.77,W,W,evaluated
2026-08-12,2026-08-13,swing,VERN.JK,PRE_MARKUP,208.0,214.0,218.0,4.81,2.88,W,W,evaluated
2026-08-12,2026-08-13,swing,CDIA.JK,PRE_MARKUP,735.0,705.0,735.0,0.0,-4.08,L,L,evaluated
2026-08-12,2026-08-13,swing,DOOH.JK,PRE_MARKUP,284.0,268.0,290.0,2.11,-5.63,W,L,evaluated
2026-08-12,2026-08-13,swing,ADRO.JK,PRE_MARKUP,2520.0,2470.0,2530.0,0.4,-1.98,W,L,evaluated
