ticker,company_name,sector
AALI.JK,Astra Agro Lestari Tbk PT,Consumer Staples
ACES.JK,Ace Hardware Indonesia Tbk PT,Consumer Discretionary
ADMF.JK,Adira Dinamika Multi Finance Tbk PT,Financials
ADRO.JK,Adaro Energy Indonesia Tbk PT,Energy
AGRO.JK,Bank Raya Indonesia Tbk PT,Financials
AKRA.JK,AKR Corporindo Tbk PT,Energy
AMRT.JK,Sumber Alfaria Trijaya Tbk PT,Consumer Staples
ANTM.JK,Aneka Tambang Tbk PT,Materials
ARTO.JK,Bank Jago Tbk PT,Financials
ASII.JK,Astra International Tbk PT,Consumer Discretionary
BBCA.JK,Bank Central Asia Tbk PT,Financials
BBNI.JK,Bank Negara Indonesia (Persero) Tbk PT,Financials
BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk PT,Financials
BBTN.JK,Bank Tabungan Negara (Persero) Tbk PT,Financials
BFIN.JK,BFI Finance Indonesia Tbk PT,Financials
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk PT,Financials
BKSL.JK,Sentul City Tbk PT,Real Estate
BMRI.JK,Bank Mandiri (Persero) Tbk PT,Financials
BNGA.JK,Bank CIMB Niaga Tbk PT,Financials
BRPT.JK,Barito Pacific Tbk PT,Materials
BRIS.JK,Bank Syariah Indonesia Tbk PT,Financials
BRPT.JK,Barito Pacific Tbk PT,Materials
BSDE.JK,Bumi Serpong Damai Tbk PT,Real Estate
BSSR.JK,Baramulti Suksessarana Tbk PT,Energy
BTPS.JK,Bank BTPN Syariah Tbk PT,Financials
BUKA.JK,Bukalapak.com Tbk PT,Information Technology
CPIN.JK,Charoen Pokphand Indonesia Tbk PT,Consumer Staples
CTRA.JK,Ciputra Development Tbk PT,Real Estate
DCII.JK,DCI Indonesia Tbk PT,Information Technology
DMAS.JK,Puradelta Lestari Tbk PT,Real Estate
DNET.JK,Indoritel Makmur Internasional Tbk PT,Communication Services
EMTK.JK,Elang Mahkota Teknologi Tbk PT,Communication Services
ERAA.JK,Erajaya Swasembada Tbk PT,Consumer Discretionary
EXCL.JK,XL Axiata Tbk PT,Communication Services
FILM.JK,MD Pictures Tbk PT,Communication Services
GGRM.JK,Gudang Garam Tbk PT,Consumer Staples
GOTO.JK,GoTo Gojek Tokopedia Tbk PT,Information Technology
HEAL.JK,Medikaloka Hermina Tbk PT,Health Care
HERO.JK,Hero Supermarket Tbk PT,Consumer Staples
HMSP.JK,H.M. Sampoerna Tbk PT,Consumer Staples
HRUM.JK,Harum Energy Tbk PT,Energy
ICBP.JK,Indofood CBP Sukses Makmur Tbk PT,Consumer Staples
INCO.JK,Vale Indonesia Tbk PT,Materials
INDF.JK,Indofood Sukses Makmur Tbk PT,Consumer Staples
INKP.JK,Indah Kiat Pulp & Paper Tbk PT,Materials
INTP.JK,Indocement Tunggal Prakarsa Tbk PT,Materials
ISAT.JK,Indosat Tbk PT,Communication Services
ITMG.JK,Indo Tambangraya Megah Tbk PT,Energy
JPFA.JK,Japfa Comfeed Indonesia Tbk PT,Consumer Staples
JSMR.JK,Jasa Marga (Persero) Tbk PT,Industrials
KIJA.JK,Kawasan Industri Jababeka Tbk PT,Real Estate
KLBF.JK,Kalbe Farma Tbk PT,Health Care
LPKR.JK,Lippo Karawaci Tbk PT,Real Estate
LPPF.JK,Matahari Department Store Tbk PT,Consumer Discretionary
LSIP.JK,PP London Sumatra Indonesia Tbk PT,Consumer Staples
MAPI.JK,Mitra Adiperkasa Tbk PT,Consumer Discretionary
MDKA.JK,Merdeka Copper Gold Tbk PT,Materials
MEDC.JK,Medco Energi Internasional Tbk PT,Energy
MIDI.JK,Midi Utama Indonesia Tbk PT,Consumer Staples
MIKA.JK,Mitra Keluarga Karyasehat Tbk PT,Health Care
MLPT.JK,Multipolar Technology Tbk PT,Information Technology
MLPL.JK,Multipolar Tbk PT,Information Technology
MNCN.JK,Media Nusantara Citra Tbk PT,Communication Services
MYOR.JK,Mayora Indah Tbk PT,Consumer Staples
NISP.JK,Bank OCBC NISP Tbk PT,Financials
PGAS.JK,Perusahaan Gas Negara Tbk PT,Energy
PNBN.JK,Bank Pan Indonesia Tbk PT,Financials
PPRE.JK,PP Presisi Tbk PT,Industrials
PTBA.JK,Bukit Asam Tbk PT,Energy
PTPP.JK,PP (Persero) Tbk PT,Industrials
PTRO.JK,Petrosea Tbk PT,Energy
PWON.JK,Pakuwon Jati Tbk PT,Real Estate
ROTI.JK,Nippon Indosari Corpindo Tbk PT,Consumer Staples
SGRO.JK,Sampoerna Agro Tbk PT,Consumer Staples
SIDO.JK,Industri Jamu & Farmasi Sido Muncul Tbk PT,Consumer Staples
SILO.JK,Siloam International Hospitals Tbk PT,Health Care
SMGR.JK,Semen Indonesia (Persero) Tbk PT,Materials
SMRA.JK,Summarecon Agung Tbk PT,Real Estate
SSMS.JK,Sawit Sumbermas Sarana Tbk PT,Consumer Staples
TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk PT,Materials
TLKM.JK,Telkom Indonesia (Persero) Tbk PT,Communication Services
TPIA.JK,Chandra Asri Petrochemical Tbk PT,Materials
ULTJ.JK,Ultra Jaya Milk Industry & Trading Company Tbk PT,Consumer Staples
UNVR.JK,Unilever Indonesia Tbk PT,Consumer Staples
WIKA.JK,Wijaya Karya (Persero) Tbk PT,Industrials
WOOD.JK,Integra Indocabinet Tbk PT,Industrials
WSKT.JK,Waskita Karya (Persero) Tbk PT,Industrials
WTON.JK,Wijaya Karya Beton Tbk PT,Industrials
